username,datetime,words
user3,2022-09-10T16:01:17,48
user3,2022-09-10T16:01:25,143
user11,2022-09-10T16:23:36,16
user3,2022-09-10T16:27:15,49
user11,2022-09-10T16:27:48,3
user4,2022-09-11T16:37:47,23
user4,2022-09-11T16:37:54,4
user4,2022-09-11T16:38:21,8
user11,2022-09-12T16:45:06,11
user9,2022-09-12T16:46:11,7
user13,2022-09-12T16:47:04,16
user9,2022-09-12T16:48:53,4
user13,2022-09-12T16:51:30,1
user14,2022-09-12T18:26:31,15
user9,2022-09-13T06:32:54,19
user3,2022-09-13T15:56:55,17
user4,2022-09-13T18:11:13,14
user4,2022-09-13T18:12:52,28
user4,2022-09-13T18:13:02,8
user3,2022-09-14T10:27:15,22
user3,2022-09-14T10:28:04,7
user10,2022-09-14T10:33:49,29
user3,2022-09-14T10:34:16,3
user3,2022-09-14T10:34:42,13
user10,2022-09-14T10:34:57,26
user10,2022-09-14T10:35:21,5
user3,2022-09-14T10:35:24,1
user10,2022-09-14T10:35:33,2
user5,2022-09-14T10:39:42,68
user4,2022-09-14T13:08:43,31
user4,2022-09-14T13:09:27,16
user4,2022-09-15T18:54:10,62
user9,2022-09-17T12:59:45,8
user3,2022-09-19T10:36:48,82
user3,2022-09-20T17:25:26,13
user5,2022-09-21T12:36:42,14
user10,2022-09-21T12:41:03,12
user5,2022-09-21T12:41:30,2
user10,2022-09-21T12:41:55,2
user5,2022-09-21T12:55:06,3
user3,2022-09-28T11:25:50,39
user14,2022-09-28T15:16:33,5
user3,2022-09-28T15:35:05,5
user4,2022-09-28T15:41:04,25
user10,2022-09-29T14:11:10,27
user3,2022-09-29T15:50:12,9
user13,2022-09-29T19:30:12,41
user3,2022-09-29T19:32:06,16
user11,2022-09-29T19:33:22,17
user3,2022-09-29T19:34:01,5
user13,2022-09-29T19:34:38,10
user3,2022-09-29T19:34:54,1
user14,2022-10-03T14:18:21,1
user3,2022-10-04T19:15:57,13
user3,2022-10-04T19:18:49,2
user3,2022-10-04T19:34:15,8
user3,2022-10-04T19:34:26,15
user14,2022-10-04T19:38:34,27
user2,2022-10-04T19:39:26,6
user3,2022-10-04T19:41:35,3
user3,2022-10-07T16:55:02,2
user11,2022-10-11T13:52:30,24
user3,2022-10-11T13:53:54,16
user3,2022-10-11T13:54:28,7
user11,2022-10-11T13:56:41,16
user4,2022-10-11T14:34:50,7
user11,2022-10-11T19:06:36,33
user3,2022-10-11T19:10:25,2
user10,2022-10-11T19:11:57,29
user4,2022-10-11T19:14:06,15
user3,2022-10-11T19:14:57,10
user4,2022-10-11T19:16:03,26
user4,2022-10-11T19:16:32,14
user4,2022-10-11T19:16:45,7
user4,2022-10-11T19:16:52,1
user13,2022-10-11T19:21:54,72
user4,2022-10-11T19:23:01,7
user13,2022-10-11T19:24:46,7
user4,2022-10-11T19:26:56,3
user4,2022-10-12T12:57:59,3
user4,2022-10-12T12:58:23,9
user13,2022-10-12T13:53:25,2
user3,2022-10-19T09:02:01,14
user3,2022-10-19T09:03:31,29
user14,2022-10-22T15:49:19,8
user3,2022-10-23T10:43:08,21
user14,2022-10-23T11:17:45,6
user3,2022-10-23T11:19:03,3
user14,2022-10-23T11:54:19,7
user3,2022-11-18T20:29:00,7
user2,2022-11-23T11:25:33,9
user3,2022-11-23T11:32:09,6
user3,2022-11-23T12:12:14,4
user2,2022-11-23T15:35:04,17
user12,2022-11-23T15:36:00,4
user12,2022-11-23T15:36:20,6
user13,2022-11-23T15:36:40,3
user12,2022-11-23T15:37:10,2
user3,2022-11-23T21:40:54,8
user3,2022-11-24T18:16:46,14
user13,2022-11-24T18:20:09,5
user3,2022-11-24T18:20:38,2
user13,2022-11-24T18:20:53,1
user10,2022-11-24T18:22:09,14
user3,2022-11-25T17:07:55,29
user14,2022-11-28T20:13:14,11
user3,2022-11-28T20:14:19,9
user3,2022-11-30T19:42:31,73
user14,2022-12-09T18:26:42,2
user3,2022-12-12T13:30:47,29
user3,2022-12-16T15:26:04,19
user3,2022-12-31T10:01:01,29
user11,2022-12-31T10:05:31,12
user3,2023-01-12T14:32:22,129
user3,2023-01-12T14:33:57,23
user3,2023-01-12T14:35:17,30
user3,2023-01-12T14:35:45,5
user14,2023-01-12T14:46:42,46
user3,2023-01-12T14:47:20,5
user14,2023-01-12T14:48:09,15
user3,2023-01-12T14:48:34,8
user3,2023-01-12T14:48:49,6
user14,2023-01-16T13:34:40,9
user3,2023-01-16T13:35:24,3
user14,2023-01-16T13:38:39,18
user3,2023-01-16T13:39:22,7
user14,2023-01-16T13:39:46,2
user11,2023-01-16T13:40:45,9
user3,2023-01-16T13:53:15,7
user11,2023-01-16T13:54:04,13
user3,2023-01-16T13:55:14,8
user3,2023-01-30T19:04:42,186
user3,2023-01-30T19:06:09,14
user3,2023-01-31T18:17:54,6
user3,2023-02-01T17:14:53,12
user14,2023-02-01T17:16:14,7
user3,2023-02-01T17:16:44,4
user14,2023-02-03T09:07:51,9
user3,2023-02-03T09:10:46,12
user3,2023-02-03T09:12:31,28
user14,2023-02-03T09:13:18,12
user3,2023-02-03T09:14:34,24
user3,2023-02-13T10:54:13,10
user3,2023-02-14T17:55:55,11
user3,2023-02-27T10:47:24,23
user14,2023-03-01T15:31:32,32
user4,2023-03-01T15:32:40,4
user14,2023-03-01T15:32:58,1
user3,2023-03-01T15:33:14,12
user14,2023-03-01T15:34:44,6
user14,2023-03-01T15:35:11,21
user3,2023-03-01T15:35:15,11
user4,2023-03-01T15:35:15,13
user3,2023-03-01T15:35:49,11
user3,2023-03-01T15:36:09,2
user4,2023-03-01T15:36:57,18
user3,2023-03-01T15:37:09,5
user4,2023-03-01T15:37:14,10
user14,2023-03-01T15:37:35,6
user3,2023-03-01T15:37:44,8
user14,2023-03-01T15:37:52,1
user14,2023-03-01T15:38:25,2
user4,2023-03-01T15:38:25,8
user4,2023-03-01T15:38:44,5
user14,2023-03-01T15:38:45,3
user10,2023-03-01T16:09:37,12
user3,2023-03-01T16:10:53,14
user10,2023-03-01T16:12:33,26
user10,2023-03-01T16:12:39,6
user3,2023-03-14T10:31:19,26
user10,2023-03-14T10:36:49,8
user10,2023-03-14T10:36:59,5
user3,2023-03-14T10:37:29,3
user10,2023-03-14T10:37:53,10
user14,2023-03-14T10:38:38,6
user14,2023-03-14T10:38:46,3
user3,2023-03-14T10:39:26,15
user3,2023-03-14T10:40:10,14
user14,2023-03-14T10:40:40,12
user14,2023-03-14T10:41:31,14
user3,2023-03-14T10:41:38,25
user3,2023-03-14T10:41:58,4
user14,2023-03-14T10:42:15,5
user3,2023-03-27T11:38:47,25
user3,2023-03-28T08:34:56,37
user3,2023-03-29T09:41:42,23
user4,2023-03-30T16:02:04,2
user4,2023-03-30T16:02:30,16
user4,2023-03-30T16:02:37,3
user4,2023-03-30T16:03:21,11
user4,2023-03-30T16:04:39,32
user4,2023-03-30T16:08:40,8
user4,2023-03-30T16:09:22,10
user12,2023-03-30T16:17:50,22
user11,2023-03-30T17:55:35,12
user1,2023-03-30T18:01:13,16
user4,2023-03-30T18:04:17,11
user11,2023-03-30T18:04:41,2
user4,2023-03-30T18:05:30,4
user4,2023-04-03T17:12:26,13
user4,2023-04-03T17:12:54,16
user4,2023-04-03T17:13:23,4
user10,2023-04-03T17:15:20,12
user4,2023-04-03T17:16:53,12
user4,2023-04-03T17:17:26,5
user10,2023-04-03T17:17:32,16
user4,2023-04-03T17:17:38,5
user0,2023-04-03T17:17:40,27
user4,2023-04-03T17:17:56,5
