turn	start	end	role	num_syllables
001	5.635	5.925	NOUSE	2
002	7.745	9.535	NOUSE	10
003	10.015	12.045	NOUSE	11
004	13.475	33.215	L	84
005	35.485	36.955	L	8
006	44.765	46.091	L	8
007	61.543	62.575	L	8
008	63.095	63.435	L	2
009	73.575	77.975	L	19
010	80.514	83.195	L	12
011	84.475	89.321	NOUSE	24
012	109.185	112.635	F	24
013	113.295	134.75	F	85
014	140.575	141.335	F	0
015	143.045	148.941	F	30
016	153.991	163.012	F	34
017	165.055	167.535	F	14
018	175.24	186.234	NOUSE	25
019	186.896	189.777	NOUSE	21
020	192.235	193.007	NOUSE	4
021	196.985	197.959	NOUSE	7
022	200.015	211.055	L	38
023	211.915	242.12	L	125
024	245.007	246.083	L	5
025	262.215	263.285	L	5
026	271.09	272.451	L	10
027	309.568	316.205	F	27
028	317.695	323.414	F	26
029	325.213	325.53	F	1
030	326.157	327.836	F	6
031	328.925	329.955	F	8
032	330.488	330.873	F	0
033	334.674	346.346	L	35
034	346.915	350.577	L	14
035	351.475	366.26	L	46
036	375.885	376.455	L	4
037	378.965	379.175	L	2
038	406.745	407.084	L	1
039	409.225	409.595	L	1
040	411.005	413.748	L	7
041	416.755	418.057	L	5
042	419.315	421.685	L	9
043	432.935	435.075	F	8
044	439.885	442.035	F	10
045	450.925	471.383	F	59
046	472.586	479.401	F	30
047	480.445	483.715	F	8
048	485.985	499.465	L	25
049	500.275	517.391	L	69
050	532.969	535.197	L	12
051	538.515	545.895	L	26
052	554.295	555.553	L	0
053	579.865	583.139	L	19
054	589.705	591.978	L	13
055	593.873	594.605	L	2
056	606.247	606.751	F	2
057	621.833	622.02	F	2
058	622.525	622.865	F	2
059	628.375	633.965	F	32
060	634.495	635.985	F	10
061	636.845	637.305	F	0
062	638.116	650.735	L	23
063	651.821	657.842	L	27
064	658.995	679.362	L	83
065	680.755	681.2	L	0
066	688.835	689.085	L	2
067	694.585	694.865	L	2
068	701.285	701.965	L	0
069	720.645	723.697	L	15
070	726.175	727.035	L	3
071	734.635	734.865	F	2
072	762.515	762.775	F	2
073	768.025	768.285	F	2
074	779.435	798.275	F	80
075	799.508	805.122	F	5
076	806.255	806.855	F	0
077	807.075	808.135	F	3
078	809.235	837.003	L	72
079	837.325	846.072	L	43
080	858.565	860.276	L	12
081	869.415	873.056	L	9
082	881.735	881.847	L	0
083	887.191	890.795	L	17
084	891.732	892.921	L	3
