turn	start	end	role	num_syllables
001	4.385	5.265	NOUSE	7
002	6.31	7.465	NOUSE	5
003	9.606	9.861	NOUSE	2
004	12.105	12.827	NOUSE	4
005	33.475	35.723	F	6
006	37.877	44.399	F	40
007	46.315	61.01	F	61
008	62.545	73.275	F	53
009	75.681	75.941	F	1
010	77.113	80.852	F	17
011	81.925	84.274	NOUSE	10
012	89.083	108.065	L	94
013	112.725	113.419	L	3
014	114.293	115.577	L	1
015	121.394	121.896	L	1
016	126.865	127.105	L	2
017	135.235	140.255	L	34
018	140.887	143.375	L	0
019	147.209	147.305	L	0
020	148.445	148.675	L	2
021	149.315	153.673	L	38
022	163.355	165.226	L	14
023	165.935	166.195	L	2
024	169.05	170.253	L	4
025	177.195	177.525	NOUSE	2
026	186.345	186.635	NOUSE	2
027	190.135	191.075	NOUSE	7
028	192.575	196.495	NOUSE	36
029	197.675	199.701	NOUSE	11
030	211.285	211.745	F	2
031	235.895	236.159	F	0
032	244.165	244.715	F	0
033	246.785	261.385	F	74
034	262.625	270.498	F	33
035	273.884	309.455	L	121
036	316.925	317.205	L	2
037	324.298	324.927	L	4
038	325.895	326.205	L	2
039	326.415	328.085	L	11
040	329.995	332.855	L	10
041	344.217	344.486	F	2
042	346.555	346.805	F	2
043	351.045	351.392	F	2
044	367.645	375.759	F	43
045	376.698	378.705	F	11
046	379.416	409.357	F	135
047	410.169	410.525	F	1
048	413.395	416.285	F	13
049	417.675	419.665	F	12
050	420.079	420.346	F	1
051	421.405	432.058	L	54
052	434.721	439.255	L	24
053	441.767	450.53	L	46
054	471.605	472.325	L	3
055	479.695	480.205	L	0
056	483.275	485.426	L	9
057	499.735	499.975	F	2
058	505.413	505.685	F	2
059	514.995	515.181	F	1
060	520.385	533.145	F	66
061	534.971	538.492	F	13
062	545.282	553.559	F	49
063	554.585	581.114	F	117
064	583.285	590.055	F	41
065	591.745	593.919	F	13
066	596.125	628.51	L	139
067	629.886	630.014	L	1
068	634.115	634.335	L	2
069	636.255	636.453	L	1
070	637.395	638.025	L	0
071	650.985	651.235	F	2
072	658.035	658.315	F	2
073	680.235	687.991	F	38
074	690.32	694.333	F	18
075	695.025	719.784	F	114
076	722.675	723.305	F	2
077	723.705	726.718	F	21
078	727.427	733.755	L	25
079	735.015	767.685	L	158
080	768.487	779.88	L	73
081	784.295	784.555	L	2
082	789.715	789.963	L	2
083	798.387	798.677	L	2
084	804.816	805.955	L	5
085	806.57	809.726	L	13
086	818.885	819.097	F	2
087	835.515	837.46	F	3
088	837.912	838.118	F	2
089	848.615	858.601	F	45
090	859.917	869.504	F	49
091	869.801	870.684	F	5
092	871.125	888.197	F	91
093	890.735	893.229	F	8
